"Número de guía","Número de bulto a agregar","Número del requisito del contenedor específico que le aplica al bulto","Cantidad de animales al interior del bulto","Especie / Tipo (Clase) del animal","Nombre común","Nombre científico","Número apéndice de la CITES","Raza (Únicamente aplica para perros y gatos. Para otro tipo de animal diligencie ""N/A"")","Edad (meses)","¿El animal tiene alguna característica/condición especial en su estado de salud? Ejemplo: Parálisis, heridas, etc.","Diligencie la característica/condición especial en su estado de salud","Propósito del transporte","Peso neto (Kg) - Peso de(l) (los) animal(es)","Peso bruto (Kg) - Peso de(l) (los) animal(es) mas el contenedor","Sexo"
"123456789",,,,,,,,,,,,,,,
"9999877665","1","2","3","Crustáceos","4","5","III/O","6","7","Sí","8","Comercial","9","10","Hembra"
"1111111111111","1","1","1","Mamíferos","perro","canis","I/III","criollo","3","No","na","Comercial","6","8","Hembra"
"888004494595","5","1","13","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","14.4","No","N/A","No comercial","17","23.1","Macho"
"888004495068","4","1","7","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","4","No","N/A","No comercial","10","16.5","Hembra"
"888004496300","1","1","1","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLO","24","No","N/A","No comercial","4","5.4","Hembra"
"4591610","1","18","4","Aves","GALLOS","GALLUS GALLUS DOMESTICUS","No aplica","N/A","11","No","N/A","No comercial","0.5","12","Macho"
"888004591565","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS ","No aplica","POMERANIA","2","No","N/A","No comercial","0.6","1","Hembra"
"1111111111111","1","1","3","Mamíferos","Perro","Canis","I","N/A","3","No","N/A","No comercial","3","5","Hembra"
"888004650538","1","1","1","Mamíferos","PERRO COMUN","CANIS FAMILIA","No aplica","MESTZO","24","No","N/A","No comercial","2","5","Hembra"
"888004678232","4","1","4","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLO ","36.12","Sí","AMPUTACION DEL MIEMBRO ANTERIOR DERECHA","No comercial","22","39.5","Hembra"
"888004678827","5","1","15","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO ","14.4","No","N/A","No comercial","17","25.3","Hembra"
"888004682328","5","1","15","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","4","No","N/A","No comercial","15","20","Hembra"
"888004682959","5","1","12","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLO","14.4","Sí","PACIENTE CON AUSENCIA DEL MIEMBRO ANTERIOR IZQUIERDO ","No comercial","16","20","Hembra"
"888004693308","1","1","1","Mamíferos","PERRO","CANIS FAMILARIS","No aplica","GOLDENDOODLE","2","No","N/A","No comercial","2","4","Macho"
"888004739997","2","1","2","Mamíferos","PERRO","CANIS FIMILIARIS","No aplica","FRESH POODDER","36.12","No","N/A","No comercial","20","26.4","Hembra"
"888004768731","1","1","1","Mamíferos","perro","canis familiaries","No aplica","xoloitzcuintle","16","No","n/a","No comercial","13","19","Hembra"
"888004775086","1","1","1","Mamíferos","GATO","Felis catus","No aplica","SPHYNX","7","No","BIEN DE SALUD ","Comercial","2","4","Hembra"
"888004799044","5","1","5","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","14.12","No","N/A","No comercial","15","22","Hembra"
"888004824116","5","1","14","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLO","4","No","N/A","No comercial","9.8","17.2","Hembra"
"888004824690","5","1","6","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","14.12","No","N/A","No comercial","21","28","Hembra"
"888004822632","1","1","1","Mamíferos","PERRO ","CANIS LUPUS FAMILIARS","No aplica","BULL TERRIER ","48","No","N/A","No comercial","25","32","Macho"
"888004824791","5","1","11","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","14.4","No","N/A","No comercial","18","26","Hembra"
"888004853217","5","1","13","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","14.4","No","N/A","No comercial","15","23.7","Hembra"
"888004904368","4","1","12","Mamíferos","CATS","FELIS CATUS","No aplica","CRIOLLOS","3","No","NINGUNA","Traslado para un zoológico, santuario o centro de rehabilitación","15","20","Macho"
"888004904368","2","1","1","Mamíferos","PERRO","CANNIS FAMILIARIS","No aplica","HUSKY SIBERIANO","12","Sí","DEFORMIDAD PATAS TRASERAS","Traslado para un zoológico, santuario o centro de rehabilitación","15","25","Macho"
"888004905342","4","1","9","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA","4","Sí","AUSENCIA DEL GLOBO OCULAR IZQUIERDO SIN SIGNOS ACTUALES DE INFECCION ","No comercial","12","20.3","Macho"
"888004910584","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","N/A","4","No","N/A","No comercial","1","5","Hembra"
"4930716","1","18","3","Aves","GALLOS DE PELEA ","GALLUS GALLUS DOMESTICOS ","No aplica","N/","10","No","N/A","Comercial","1.6","7","Macho"
"888004930954","1","1","1","Mamíferos","PÉRRO","CANIS FAMILIARIS","No aplica","MESTIZO","108","No","ACTO","No comercial","9","39","Hembra"
"888004956000","1","1","3","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLOS ","3","No","NA","No comercial","1","8.5","Macho"
"4956153","5","1","3","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLOS","3","No","NA","No comercial","1","5","Macho"
"888004958199","5","1","15","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4","No","N/A","No comercial","17","24.2","Macho"
"888004959042","5","1","15","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLA ","4","No","N/A ","No comercial","15","20","Macho"
"888004955716","1","1","1","Mamíferos","COCO","YOSKSHIRE TERRIER","No aplica","NA","4","No","SI","No comercial","0.85","4","Macho"
"888004980946","3","1","1","Mamíferos","GATO COMUN,PERRO COMUN","FELIS CATUS,CANIS FAMILIARIS","No aplica","MESTIZOS","12","No","N/A","No comercial","10","14","Hembra"
"888004980524","3","1","3","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS","5","No","N/A","No comercial","5","15.5","Hembra"
"888004980570","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLOS","2","No","N/A","No comercial","18","26.5","Hembra"
"888004981367","5","1","3","Mamíferos","GATOS VIVOS","FELIS CATUS","No aplica","MESTIZOS","4","No","N/A","No comercial","10","15","Macho"
"888004981551","1","18","4","Aves","GALLOS","GALLUS GALLUS DOMESTICUS","No aplica","N/A","11.1718","No","N/A","No comercial","1.5","10","Macho"
"888004981683","3","1","1","Mamíferos","GATOS COMUN","FELIS CATUS","No aplica","MESTIZOS","4","Sí","PATICA AMPUTADA","No comercial","4","7","Hembra"
"888004981055","1","16","1","Aves","PAUJIL ","CRAX ALBERTI","II","N/A","31","No","N/A","Traslado para un zoológico, santuario o centro de rehabilitación","3.2","15.8","Macho"
"888004981055","1","43","7","Reptiles","TORTUGA DEL RIO MAGDALENA ","PODOCNEMIS  LEWYANA ","II","N/A","84.96108","No","N/A","Traslado para un zoológico, santuario o centro de rehabilitación","13.9","42.4","Macho"
"888004980891","4","1","9","Mamíferos","GATO","FELISCATUS","No aplica","CRIOLLO","4","No","N/A","No comercial","11","20","Hembra"
"888004981055","1","44","3","Reptiles","BOA ARBORICOLA ","CORALLUS RUSCHENBERGERII","II","N/A","36.72","No","N/A","Traslado para un zoológico, santuario o centro de rehabilitación","1.82","11.8","Macho"
"888004981881","5","1","6","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLO","4.567","No","N/A","No comercial","24","31.9","Macho"
"888004981925","5","1","10","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","4.314","No","N/A","No comercial","13","24.3","Macho"
"888005051275","1","18","6","Aves","gallos ","gallus gallus domesticus","No aplica","finos","6","No","na","No comercial","2","12","Macho"
"888005051275","2","18","4","Aves","gallos ","gallus gallus domesticus","No aplica","finos ","6","No","na","No comercial","2","8","Macho"
"888005052715","1","1","1","Mamíferos","perro dog","canis familiaris","No aplica","pastor alman","3","No","na","No comercial","5","13","Macho"
"	888005065686","1","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","NA","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES ","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","NA","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","NA","No comercial","0.3","25","Macho"
"	888005065686","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","N/A"
"5065592","1","53","6","Peces","CAMARONES "," CARIDEA ","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES "," CARIDEA ","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMAONES ","CARIDEA","No aplica","N/A","3","No","N/A ","No comercial","3.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES ","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"5065592","1","53","6","Peces","CAMARONES ","CARIDEA","No aplica","NA","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","1","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","2","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","3","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","4","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","5","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","6","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005056688","7","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
