"Número de guía","Número de bulto a agregar","Tipo de embalaje","Detalle naturaleza del envío","Peso neto del hielo seco (Kg)","Peso bruto del bulto (Kg)"
"0000000",,,,,
"99887766","1","emb","sb","1","2"
"4512230","1","NEVERA DE ICOPOR","HIELO SECO","7","8"
"4521077","1","NEVERA DE ICOPOR","INJERTO OSEO","1","17"
"888004538328","1","SANGRE SUERO ORINA ","INVESTIGACION ","3","4"
"888004538328","2","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004538328","3","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004542795","1","CAJA DE CARTON PRENSADO","INVESTIGACION","4","10"
"45661299","1","CAJA DE CARTON","MEDICINAS","3","5.5"
"888004502133","1","CARTON ","DRI ICE - HIELO SECO","2","6"
"888004501779","1","CARTON ","DRI ICE  HIELO SECO ","2","3"
"888004524492","1","NEVERA DE HICOPOR","TEJISDOS OSTEOMUSCULAR","2.5","24.5"
"888004527005","1","NEVERA DE HICOPOR","TEJIDOS OSTEOMUSCULAR","1","6.2"
"888004545505","1","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","4","8.7"
"888004570992","1","CAJA NEVERA ","HIELO SECO ","18.5","20"
"888004573341","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004573341","2","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004573341","3","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"4574847","1","CAJA DE CARTON ","MUESTRAS BIOLOGICAS CT B ","2","2"
"888004574596","1","NEVERA","MUESTRAS BIOLOGICAS ","5","6"
"888004575391","8","caja de carton ","sustancias biologicas cat b ","10","23.7"
"888004575427","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004568556","1","CAJA DE CARTON","DRY ICE","6","8.2"
"888004579653","1","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B","5","5.1"
"888004580427","1","CAJA DE CARTON","DRY ICE","2","11.8"
"888004580616","1","SANGRE MATERIA FECAL LIQUIDOS CORPORALES Y ORINA ","INVESTIGACION","3","10"
"888004571134","1","HIELO SECO ","1845","2.5","2.8"
"888004577063","2","CAJA NEVERA ","HIELO SECO ","5.11","6"
"888004582614","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","9.8","4"
"4584113","1","CABA DE ICOPOR ","HIELO SECO ","5","7"
"4584129","1","CAVA DE ICOPOR ","HIELO SECO ","5","7"
"888004601367","6","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","8","18.5"
"888004602216","1","CAJA DE CARTON","DRY ICE","3","4"
"888004604486","1","CAJA NEVERA ","HIELO SECO ","6.6","6.9"
"888004600182","1","CAJA DE CARTON","DRY ICE","6","8.4"
"888004605414","1","CAJA de carton prensado","DRY ICE, HIELO SECO ","3","4"
"888004605414","2","CAJA DE CARTON PRENSADO","DRY ICE, HIELO SECO","3","4"
"888004605414","3","CAJA DE CARTON PRENSADO","DRY ICE, HIELO SECO","3","4"
"888004606633","1","CAJA DE CARTON PRENSADO","DRY ICE, HIELO SECO ","3","4"
"888004605819","2","caja nevera ","HIELO SECO ","2.74","2.8"
