"Número de guía","Número ONU (UN / ID)","Clase o división","Peligro secundario","Grupo de embalaje","Cantidad de bultos","Tipo de embalaje","Peso neto de la mercancía peligrosa por bulto (Kg)","Unidad de medida","Peso bruto por bulto (Kg)","Instrucción de embalaje","Autorizaciones","Disposiciones especiales aplicables en el envío.","Información adicional de manipulación","Nombre apropiado de expedición"
"898989888","555","55","22","II","4,545","55","55","Kilogramos","55","55","55","55","55","GFGFG"
"4513509","1,263","3","N/A","III","1","FIBREBOARD BOX","10","Litros","7","Y344","N/A","N/A","N/A","PAINT"
"4513235","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","80","Kilogramos","0.8","Y203","N/A","N/A","N/A","AEROSOLS ,FLAMMABLE"
"4513883","3,072","9","N/A","N/A","1","FIBREBOARD BOX","18","Litros","19","955","N/A","A48","N/A","LIFE-SAVING APPLIANCES.NOT SELF-INFLATING"
"4518838","1,263","3","N/A","II","1","FIBREBOARD BOX ","5","Litros","9","353","N/A","N/A","N/A","PAINT RELATED MATERIAL "
"4517861","1,263","3","N/A","II","1","FIBREBOARD BOX ","3","Litros","2","353","N/A","N/A","N/A","PAINT"
"4538385","1,263","3","N/A","III","1","FIBREBOARD BOX ","1","Litros","6.2","Y344","N/A","N/A","N/A","PAINT"
"4538385","1,263","3","N/A","III","1","FIBREBOARD BOX ","4","Litros","62","353","N/A","N/A","N/A","OPAIRELATED MATERIAL "
"4526209","1,263","3","N/A","III","1","FIBREBOARD BOX ","34","Litros","12","355","A192","N/A","N/A","PAINT RELATED MATERIAL "
"4526209","1,992","3","6,1","III","1","FIBREBOARD BOX ","24","Litros","13","352","N/A","N/A","N/A"," FLAMMABLE LIQUID TOXIC ,N,O.S (ETHYL3ETHOXYPROPINATE,PENTANE-2,4)"
"111104546274","1,956","2.2","N/A","N/A","1","FIBREBOARD BOX","5","Kilogramos","8.8","200","N/A","N/A","1-80-255-3924","Compressed gas, n.o.s"
"111104547127","3,259","8","N/A","III","1","CAJA DE CARTON","100","Kilogramos","1.4","Y854","N/A","N/A","N/A","AMINES, SOLIDO, CORROSIVE"
"888004535470","3,363","9","NA","N/A","1","CAJA DE CARTON","1","Litros","12.5","962","NA","NA","MIS0000580","DANGEROUS GOODS IN APPARATUS "
"888004516131","3,469","3","8","II","1","CAJA DE CARTON","1","Litros","2","352","NA","NA","MIS00000580","PAINT RELATED MATERIAL FLAMMABLE CORROSIVE"
"888004485103","8,000","9","NA","N/A","1","CAJA DE CARTON","7","Kilogramos","7","Y963","NA","NA","4440050 426","CONSUMER COMMODIY"
"888004553498","2,929","6.1","3","II","1","CAJA DE CARTON","1","Litros","4","654","NA","NA","MIS00000580","Toxic liquid, flammable, organic, n.o.s. ★"
"88800571779","1,139","3","N/A","III","1","CAJA DE CARTON PRENSADO","0.05","Litros","2","355","N/A","N/A","MIS0000580","Coating solution †"
"111104569800","1,072","2.2","5.1","N/A","1","ALUMINIO","3","Kilogramos","18","200","N/A","N/A","18002553924","Oxygen, compressed"
"888004602320","3,091","9","NA","N/A","1","CAJA DE CARTON","3","Kilogramos","2","970","NA","NA","MIS00000580","Lithium metal batteries contained in equipment †"
"888004602320","3,091","9","NA","N/A","2","CAJA DE CARTON","3","Kilogramos","2","970","NA","NA","MIS00000580","Lithium metal batteries contained in equipment †"
"888004605996","3,091","9","NA","N/A","1","FIBREBOARD BOX","2","Kilogramos","2","970","NA","NA","NA","LITHUM METAL BATTERIES CONTAINED IN EQUIPMENT"
"4620233","8,000","9","NA","N/A","1","CAJA DE CARTON ","500","Litros","1","Y963","NA","A112","NA","CONSUMER CONMODITY "
"4620695","8,000","9","NA","N/A","1","CAJA DE CARTON","500","Litros","9","Y963","NA","A112","NA","CONSUMER CONMODITY"
"888004621487","3,263","8","NA","II","1","CAJA DE CARTON","5","Kilogramos","1","859","NA","NA","MIS00000580","Corrosive solid, basic, organic, n.o.s. ★"
"4620572","1,133","3","N/A","II","1","FIBREBOARD BOX ","45","Litros","8","353","N/A","N/A","18002553924","Adhesives"
"111104621784","2,795","8","N/A","N/A","1","CAJA PLASTICA","344","Kilogramos","41.4","870","A51","N/A","18002553924","Batteries, wet, filled with alkali"
"888004637559","1,133","3","N/A","III","1","CAJA DE CARTON","0.4","Litros","2","355","N/A","N/A","MIS0000580","Adhesives"
"888004651216","2,929","6.1","3","II","1","CAJA DE CARTON","15","Litros","3","654","NA","NA","MIS00000580","Toxic liquid, flammable, organic, n.o.s. ★"
"111104650870","3,072","9","N/A","N/A","1","CAJA DE CARTON","4","Kilogramos","5.1","955","A48","NA","+018132480585","Life-saving appliances, not self-inflating"
"4650717","1,863","3","N/A","N/A","1","CAJA DE MADERA CONTRACHAPADA","3","Litros","6","Y344","N/A","N/A","N/A","FUEL AVIATION TURBINE ENGINE"
"111104669317","3,469","3","8","III","1","CAJA DE Carton","50","Litros","0.4","y342","n/a","n/a","018132480585","Paint, flammable, corrosive"
"4670250","1,950","2","N/A","N/A","1","FIBREBOARD BOX","8","Kilogramos","0.8","Y203","N/A","N/A","N/A","AEROSOLS,FLAMMABLE "
"111104671028","3,363","9","N/A","N/A","1","PLASTIC BOK","1","Litros","17","962","N/A","N/A","1-8002553924","Dangerous goods in apparatus"
"111104687897","1,950","2.1","n/a","N/A","1","caja de carton ","26","Kilogramos","2.6","y203","n/a","n/a","+018132480585","Aerosols, flammable"
"4697903","2,795","8","N/A","N/A","1","PLASTIC BOX","25","Kilogramos","33.2","870","N/A","N/A","1-800-255-3924","Batteries, wet, filled with alkali"
"111104704688","3,091","9","N/A","N/A","1","FIBREBOARD BOX","25","Kilogramos","5.8","970","N/A","N/A","1-8002553924","Lithium metal batteries contained in equipment"
"111104717898","3,091","9","N/A","N/A","3","FIBREBOARD BOX ","25","Kilogramos","3.94","970","NA","A48","1-8002553924","Lithium metal batteries contained in equipment"
"111104698664","8,000","9","N/A","N/A","1","CAJA DE CARTON","1","Litros","1","Y963","N/A","N/A","N/A","ARTICULO DE CONSUMO"
"111104698721","1","9","N/A","N/A","1","CAJA DE CARTON","1","Kilogramos","2","Y963","N/A","N/A","N/A","ARTICULO DE CONSUMO"
"111104698676","1","9","N/A","N/A","1","CAJA DE CARTON","1","Litros","1","Y9631","N/A","N/A","N/A","ARTICULO DE CONSUMO"
"111104698712","1","9","N/A","N/A","1","CAJA DE CARTON","1","Litros","1","Y963","N/A","N/A","N/A","ARTILO DE CONSUMO"
"111104729708","1,133","3","N/A","II","1","FIBREBOARD BOX","2","Litros","0.8","Y341","N/A","N/A","1-8002553924","Adhesives"
"8880047331975","12","1","N/A","N/A","1","CAJA DE CARTON","66","Kilogramos","7.1","130","N/A","N/A","N/A","CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE"
"888004722547","1,993","3","na","III","1","caja de carton","38","Litros","4","355","na","na","mis00000580","Flammable liquid, n.o.s. ★"
"888004726545","1,263","3","na","III","1","caja de carton","18","Litros","27","355","na","na","mis00000580","Paint related material"
"888004727306","1,950","2.1","na","N/A","1","caja de carton","1","Kilogramos","1","y203","na","na","mis00000580","Aerosols, flammable"
"888004706132","2,922","8","6,1","II","1","caja de carton","5","Litros","2","851","na","na","mis00000580","Corrosive liquid, toxic, n.o.s. ★"
"888004706132","1,133","3","NA","II","1","Caja de carton","95","Litros","2","353","na","na","mis00000580","Adhesives"
"111104733163","3,091","9","N/A","N/A","1","CAJA DE CARTON ","35","Kilogramos","1.4","970","N/A","A48","1-800-255-3924","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT "
"111104732939","3,072","9","N/A","N/A","2","CAJA DE CARTON ","15","Kilogramos","38.4","955","N/A","A48","1-800-255-3924","LIFE-SAVING APPLIANCES, NOT SELF-INFLATING"
"4736018","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","25","Kilogramos","1.4","970","A48","N/A","1-800-255-3924","Lithium metal batteries contained in equipment"
"4734476","2,735","8","N/A","II","1","FIBREBOARD BOX","1","Litros","3.5","851","N/A","N/A","1-800-255-3924","Polyamines, liquid, corrosive, n.o.s. "
