"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"123456789","1","L","sangre","na","1","Sustancia liquida",,"NA","NA","0","Kg","0"
"123456789","1","L","1","1","1","Sustancia liquida",,"1","1","1","Kg","1"
"888004529058","1","L","MUESTRAS BIOLOGICAS","SANGRE,SUERO","3","Sustancia liquida",,"GEL REFRIGERANTE ","UN3373","34","Kg","1"
"888004499927","1","Kg","SANGRE Y SUERO","INVESTIGACION","3","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888004536357","1","L","SUEROS,PLASMAS,SECRECION VAGINAL","HERPES,VIH,CITOMEGALOVIRUS","30","Sustancia liquida",,"GEL REFRIGERANTE","N/A","5","Kg","1"
"888004537037","1","L","ORINA SANGRE Y SUERO","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004537037","2","L","SANFGRE SUERO ORINA ","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO ","UN1845 ","3","Kg","2"
"888004537037","3","L","SANGRE, SUERO, ORINA ","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","3"
"888004538328","1","L","ORINA, SANGRE,M SUEROS","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO ","UN1845 ","3","Kg","1"
"888004538328","2","L","SANGRE SUERO ORINA ","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","2"
"888004538328","3","L","SANGRE SUERO ORINA ","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004538049","1","L","SUERO SANGRE LAMINAS","INVESTIGACION ","1","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1.2","Kg","1"
"888004540074","1","L","SANGRE SUERO ORINA ","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","15","Kg","1"
"888004540074","2","L","SANGRE SUERO ORINA ","INVESTIGACION","2","Sustancia liquida",,"GEL REFRIGERANTE ","N/A ","15","Kg","1"
"888004542795","1","L","SANGRE MATERIA FECAL LIQUIDOS CORPORALES ORINA ","INVESTIGACION ","2","Sustancia liquida",,"HIELO SECO ","UN1845","4","Kg","1"
"888004543528","1","L","SANGRE SUERO ORINA MATERIA FECAL","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","4","Kg","1"
"888004547519","1.2","L","SUEROS","HEPATITIS B ","142","Sustancia liquida",,"GEL REFIGERANTES ","N/A ","3","Kg","12"
"888004547519","1.2","L","SANGRES","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","12"
"888004502133","1","L","MUESTRAS BIOLOGICAS","SANGRE ,MATERIA FECAL,ORINAS ","2","Sustancia liquida",,"DRI ICE - HIELO SECO ","UN1845","2","Kg","1"
"888004566268","1","L","MUESTRAS BIOLOGICAS","SANGRE,SUEROS","3","Sustancia liquida",,"GEL REFRIGERANTE ","UN3373","34","Kg","1"
"888004564029","1","L","SUERO ","DIABETES","1","Sustancia liquida",,"AMBIENTE ","N/A","0","L","1"
"888004502242","1","L","MUESTRAS BIOLOGICAS","SANGRE,MATERIA FECAL.ORINAS ","2","Sustancia liquida",,"GEL REFRIGARANTE ","UN3373","4","Kg","1"
"888004501960","1","L","MUESTRAS BIOLOGICAS","SANGRE,SUEROS,ORINAS","2","Sustancia liquida",,"GEL REFRIGERANTE ","UN3373","2","Kg","1"
"888004501960","2","L","MUESTRAS BIOLOGICAS ","SANGRE,SUEROS,ORINAS ","2","Sustancia liquida",,"GEL REFRIGERANTE ","UN3373","2","Kg","2"
"888004501779","1","L","MUESTRAS BIOLOGICAS ","SANGRE,SUEROS,ORINAS","1","Sustancia liquida",,"DRI ICE - HIELO SECO ","UN1845","2","Kg","1"
"888004545505","2","L","SANGRE, SUEROS, ORINAS","CITOMEGLOVIRUS, DENGUE, HISTOPLASMA","850","Sustancia liquida",,"GEL REFRIGERANTE ","N/a","2","Kg","2"
"888004545505","1","L","ORINAS, SANGRE ","HISTOPLASMA TRASLOCACIONBCR/ABL","350","Sustancia liquida",,"HIELO SECO","1845","4","Kg","1"
"888004570992","1","L","ORINA ","DIABETES ","1","Sustancia liquida",,"HIELO SECO ","1845","185","Kg","1"
"888004573341","1","Kg","SUERO PLASMAS SANGRE TOTAL ","INVESTIGACION ","3","Sustancia solida",,"HIELO SECO","UN1845","3","Kg","1"
